bin4
86      3.86549      5.05943    (-0.538965,0.654976)
620      6.22938       7.3755    (-0.508974,0.637143)
1154      6.55492      7.79317    (-0.543914,0.694332)
1599        5.409      8.06452    (-1.20931,1.4462)
bin7z4
86       3.7735      5.43184    (-0.654871,1.00347)
531      4.04558      7.01467    (-1.33286,1.63623)
709      5.50243      7.73712    (-0.76702,1.46766)
976      6.13262      9.38593    (-1.59514,1.65818)
1154      5.94083      8.16491    (-0.924575,1.29951)
1332      6.24359       8.5813    (-0.840274,1.49743)
1599      5.37573       8.1035    (-1.24938,1.47839)
bin8v1
86      3.91997      6.78941    (-1.27397,1.59547)
353      2.95493      5.18856    (-0.815426,1.4182)
531      4.32976       7.6591    (-1.25869,2.07065)
709      5.50496      7.70042    (-0.77125,1.42421)
976      6.13384      9.38404    (-1.59186,1.65834)
1154      5.94129      8.16622    (-0.925283,1.29964)
1332      6.24351       8.5817    (-0.840473,1.49771)
1599      5.37573      8.10363    (-1.2494,1.4785)
bin8v2
86      3.92999      6.71835    (-1.25716,1.5312)
442      2.78842      5.18668    (-0.938176,1.46009)
531      4.34181      7.67325    (-1.25339,2.07805)
709      5.50451      7.69817    (-0.770807,1.42285)
976      6.13414      9.38417    (-1.59165,1.65838)
1154      5.94131      8.16637    (-0.925234,1.29983)
1332      6.24354      8.58158    (-0.840446,1.4976)
1599      5.37576       8.1036    (-1.24938,1.47847)
bin8v3
86      3.92758      6.71368    (-1.25361,1.5325)
442      2.86958      5.17954    (-0.855528,1.45443)
531      4.21897      7.61592    (-1.32215,2.07481)
709      5.14286      8.25559    (-1.11054,2.0022)
887      6.21461      8.21163    (-0.943223,1.05379)
1154      6.00332      8.28921    (-0.97098,1.31491)
1332       6.2317      8.55492    (-0.837405,1.48581)
1599      5.37962      8.10821    (-1.24867,1.47992)
